wet	1.5714
cargo	2.8571
Arsenal	3.7143
Manufacturing	3.8333
East	1.2857
quantum	3.2857
Scottish	3.0
Zenith	4.1667
cows	2.0
Alto	2.5
striving	2.8571
interested	1.8333
BenQ	4.2857
task	1.5714
suspended	2.8571
shorter	1.6667
sweep	1.8333
lived	2.0
Morton	2.8
Testament	4.1429
hormones	2.6667
faster	2.0
Gordon	2.6
Biking	2.2857
plugin	3.6
wealth	2.2857
Citroen	5.2
Tues	2.6
Reds	1.5
slut	2.3333
Florida	2.0
standby	2.8571
CNN	2.3333
pretend	2.7143
professionals	3.1667
Cruises	3.0
Norton	3.0
Valentines	3.2
Staffing	3.8571
Slovenia	3.6
Silver	1.7143
exceeded	2.7143
Taiwan	3.2
Memberships	2.7143
configurable	3.1667
gays	2.5714
dozens	2.5
Hostel	2.3333
integration	3.8333
priority	3.1667
terrorism	3.0
accused	3.2
receptor	3.2857
Framed	2.8
Pine	1.8333
unite	1.8333
Cakes	1.8571
cow	1.5714
balanced	2.4286
prototype	3.4
website	2.4286
safe	1.4286
mentally	2.5714
indicates	3.0
prop	2.2857
alcoholic	2.7143
searched	2.0
Villas	2.6667
withholding	3.1429
Weber	4.2
Riverside	2.6667
versus	2.7143
Eagles	2.2
Cancel	1.8571
trauma	3.7143
ritual	3.2857
Sara	2.1667
deserves	2.4286
delegated	3.2857
hot	1.1429
Fwd	2.0
when	1.1429
Berg	3.3333
condemned	4.0
Handicap	3.5
thus	1.4286
Kosovo	4.8
Blogger	3.2
institution	2.8333
disturbed	2.2857
Metal	1.8
daylight	1.6667
Liu	2.8333
approach	2.4286
statewide	2.6667
coach	2.0
whip	2.5
distributions	3.1429
simultaneous	3.0
self	1.2857
communication	3.0
compilation	3.5
Attorney	3.7143
customary	3.0
performers	2.5
bufing	4.2
disadvantage	2.5714
XI	1.6
spies	2.4286
joints	2.1667
internationally	3.0
agreed	1.7143
preventive	2.7143
horizontal	2.5714
shoots	1.4
Svalbard	4.6667
particles	3.0
Chattanooga	4.8
facilitating	3.5714
CPU	3.0
Jeremy	2.5714
Springer	3.5
are	1.1429
drivers	2.2857
button	1.7143
myself	1.3333
elevated	2.8571
opportunities	3.1667
temporarily	2.5714
relating	2.3333
approval	3.0
utils	3.0
Gourmet	4.0
thorough	3.0
occasion	3.0
preceded	3.4286
elaborate	3.5714
breaking	1.8571
Figure	2.0
voters	2.3333
converts	2.8571
scenery	2.7143
tank	2.4286
Outdoors	2.1667
religions	2.5
accumulated	3.1429
seminars	3.0
workflow	2.8571
Thesaurus	4.1429
renew	2.5714
digging	2.1429
differing	2.6667
paths	2.0
USC	3.0
ur	1.4
hang	2.0
titles	2.0
interface	3.0
Plantronics	4.6667
terror	2.1667
lasts	1.5714
Conferencing	4.0
Hispanic	3.8571
curves	2.3333
restraint	3.5714
implements	3.0
potato	1.5714
becoming	1.8571
judge	2.5714
Photo	2.0
sum	1.5
how	1.0
Trust	1.5
care	1.2857
path	1.5714
sued	3.3333
relies	2.6667
warming	2.3333
Alice	2.1429
folded	2.3333
ancestors	2.5714
currently	1.8571
even	1.4286
thereafter	2.6667
USA	1.2857
container	2.4286
Forensic	3.7143
Warsaw	4.4
Lottery	1.6667
interfere	3.1429
myths	2.7143
girls	1.2857
ours	1.1429
Tina	2.5
Lucas	2.2857
Vampire	3.8
attitudes	2.7143
shown	1.5
Seasons	2.3333
Trailers	2.8333
Evelyn	2.4
Jamie	2.3333
supply	1.8571
rid	1.8571
reporting	2.5714
approximation	3.4286
sworn	3.1429
letting	2.0
boys	1.2857
which	1.2857
Corrections	2.6667
implication	3.6667
validation	3.3333
prefer	2.5
cluster	3.1667
Liam	3.5
climbed	1.8571
Boyd	3.4
ignoring	2.8333
steal	1.7143
face	1.1667
preceding	3.2857
discounts	2.5
truly	1.6667
Jeanne	2.2857
procurement	4.4286
mod	2.6667
urged	2.2857
Flyer	2.3333
lipitor	5.0
tenure	2.8
Roundtable	3.0
Baseball	1.8333
butt	2.2857
contrast	3.0
style	1.8571
Relay	3.2
durability	3.1429
whenever	2.2857
ejaculation	3.8333
nutrient	3.1429
accordingly	2.5714
assertion	3.4286
Jill	1.8571
cursor	2.6667
Fixtures	3.2857
carrying	2.5
trans	3.3333
Cardiff	3.1667
FL	3.0
spanning	3.5
father	1.7143
cite	3.3333
Screenshot	2.0
Birthdays	2.1429
nominees	3.1667
Roberto	3.5
Projection	3.2857
instructions	2.5714
Huntington	3.0
tale	2.0
remainder	3.1667
widespread	2.8
looked	1.7143
Reviews	2.0
violations	3.2857
